student_id_number,term_code,CLASS_NBR,COMPLETED_FLAG,official_grade,ACAD_PLAN,HOURS_CARRIED
46162,2,06497,1,A,BB6132,16.0
46163,1,06171,1,A,ND1206,15.0
46169,2,06436,1,B,ND0407,16.0
46170,2,05221,0,DROP,BS3314,16.0
46170,1,05242,0,F,BS3314,16.0
46170,1,05345,0,DROP,BS3314,16.0
46170,2,05067,0,F,BS3314,16.0
46170,2,06449,1,D,BS3314,16.0
46364,2,06491,1,A-,BS2127,17.0
46364,3,05160,0,DROP,BS2127,17.0
46364,2,05067,1,D+,BS2127,17.0
46364,2,05221,0,DROP,BS2127,17.0
46364,3,05067,1,C-,BS2127,17.0
46390,2,06485,1,A,BB6127,16.0
46391,1,08403,1,B-,BA4101,15.0
46391,1,06185,1,A,BA4101,15.0
46392,1,06178,1,B+,ND1220,15.0
46395,2,08288,1,B,BM5107,19.0
46407,2,06464,1,C-,BS8119,15.0
46408,6,11958,1,A,BS5511,3.0
46412,1,06150,1,A,BA4101,17.0
46417,1,09783,1,A-,BS8122,16.0
46418,2,06487,1,A,ND8837,18.0
46418,4,06267,1,A,BS6854,20.0
46598,1,06127,1,B+,ND1206,15.0
46599,2,05185,0,DROP,BA2129,17.0
46599,2,05068,0,WP,BA2129,17.0
46599,1,08409,1,C,BS2522,15.0
46600,1,08828,0,WP,BS2126,13.0
82738,1,08831,1,B,BA4101,15.0
82738,1,05243,1,B,BA4101,15.0
82738,1,05349,0,DROP,BA4101,15.0
46601,2,08300,1,B,ND1206,16.0
46601,1,13555,1,A-,ND1206,16.0
46602,2,06435,1,A,BS8156,12.0
46603,1,06159,1,C+,ND1220,15.0
46608,1,06145,1,B+,ND1201,14.0
46610,2,06486,1,A,BJ6906,18.0
82742,5,12560,1,A,BS1203,9.0
46613,1,05392,1,B,BS7257,15.0
46613,1,05393,0,DROP,BS7257,15.0
46615,1,06131,1,B,BS6361,17.0
46615,1,08833,1,B+,BS6361,17.0
46616,1,08407,1,B,BB6122,17.0
46616,2,06440,1,A,BB6127,15.0
46618,1,06118,1,A,ND1201,14.0
46619,2,06448,1,A,ND8837,18.0
46622,1,06131,1,A,BS6922,15.0
46623,1,05243,1,C+,ND1105,17.0
46623,1,05348,0,DROP,ND1105,17.0
46623,1,06160,1,C,ND1105,17.0
46624,2,06482,1,A,ND1220,14.0
46625,1,05241,1,A-,BS2121,14.0
46625,1,05244,0,DROP,BS2121,14.0
46627,2,09445,1,B+,BS6307,16.0
46628,3,06075,0,WP,ND1201,16.0
46632,2,06486,1,A,ND0210,15.0
46635,1,08407,0,WP,ND1206,15.0
46635,1,06184,0,WP,ND1206,15.0
46636,1,06169,1,A-,BS5327,16.0
46636,1,09784,1,B-,BS5327,16.0
46638,1,06124,1,B,BA4101,16.0
46640,3,06115,1,A,BS7256,15.0
46640,2,06438,1,D,BS7256,16.0
46640,1,08408,1,C,ND1105,16.0
46646,1,05245,0,DROP,BS1902,15.0
46646,1,05241,1,A,BS1902,15.0
46647,1,05242,1,A-,BA4101,18.0
46647,1,05346,0,DROP,BA4101,18.0
46647,2,06434,1,A,BA4101,17.0
46648,1,06152,1,A-,ND1206,15.0
46648,1,08405,1,B+,ND1206,15.0
46650,1,06179,1,C-,BS4232,18.0
46651,1,05350,0,DROP,BS3316,15.0
46651,1,05243,1,A,BS3316,15.0
46651,2,06431,1,B+,BS3316,15.0
46653,1,05395,0,WP,ND0910,21.0
46653,1,05396,0,DROP,ND0910,21.0
46824,1,06178,1,B-,ND0408,15.0
46825,2,06449,1,A,BS2126,17.0
46825,5,06724,0,DROP,BA2129,15.0
46825,2,08303,1,B,BS2126,17.0
46825,5,06617,1,C,BA2129,15.0
46831,2,06432,1,A,ND5368,20.0
46835,1,06157,1,A,ND1201,15.0
46836,1,08409,1,B-,BB6126,17.0
46838,1,08834,1,B-,ND0610,17.0
46841,2,08295,1,B+,ND5368,15.0
82983,3,12144,0,WP,BS1203,7.0
46842,1,05241,1,A,BS2121,18.0
46842,2,06440,0,FS,BS2121,16.0
46842,1,05246,0,DROP,BS2121,18.0
46843,1,08403,1,C+,ND6603,15.0
46844,1,05406,0,DROP,BS7263,17.0
46844,1,05241,1,A,BS7263,17.0
46845,1,06179,1,C-,ND0210,20.0
46847,1,08832,1,C+,BS6306,17.0
46848,2,06481,1,A,ND5368,15.0
46849,2,08288,1,A,ND1201,16.0
46849,1,06183,1,A-,ND1201,15.0
46852,1,05389,1,B+,ND0910,15.5
46852,1,05391,0,DROP,ND0910,15.5
46851,1,05389,1,B+,ND0910,15.5
46851,1,05391,0,DROP,ND0910,15.5
46853,3,06506,1,D+,BS6468,16.0
46853,2,06461,1,B+,BS6470,16.0
46854,2,06441,1,A,BA4214,20.0
46855,1,06139,1,B,ND1206,14.0
46857,1,06146,1,B,ND0210,17.0
82997,1,11991,1,A,AA5006,7.0
46859,2,06474,1,A,ND8837,13.0
46860,1,06169,1,A,ND1220,15.0
46861,3,06097,1,B+,ND8837,15.0
46861,2,06457,1,C-,ND8837,13.0
82499,2,06493,1,B,ND0210,16.0
46862,2,05241,0,DROP,BS3313,13.0
46862,2,05068,1,B,BS3313,13.0
46863,2,06455,1,A,BS6922,15.0
46867,1,06184,0,WP,ND1206,15.0
46870,4,06268,0,FN,ND8835,18.0
46870,1,06121,1,C-,ND8835,16.0
46870,3,06506,0,F,ND8835,16.0
46870,5,07882,0,WN,ND8835,10.0
46870,2,08285,0,WP,ND8835,16.0
46872,1,08405,1,B,ND1206,15.0
46872,1,06152,1,A-,ND1206,15.0
46874,3,06251,1,B,ND1207,13.0
46874,1,06154,0,F,ND1207,15.0
46874,4,10915,1,D,ND1207,12.0
46874,3,06508,0,WF,ND1207,13.0
46875,1,08407,1,B,BB6158,17.0
46875,2,06441,1,B,BB6158,15.0
69009,3,06074,1,A,ND9956,9.0
46876,1,05244,0,DROP,BS2126,15.0
46876,1,05241,1,A,BS2126,15.0
46876,2,06440,1,A,BS2126,15.0
83001,1,05350,0,DROP,BA4101,16.0
83001,1,05243,1,D+,BA4101,16.0
47046,4,05910,0,FS,ND8142,16.0
47046,3,06086,0,WN,ND8142,20.0
47047,1,06152,1,B+,ND1206,15.0
47047,1,08405,1,B,ND1206,15.0
47048,1,06125,1,B,BA4203,16.0
47049,1,08406,1,B,BS6472,14.0
47049,2,09447,1,C-,BS6472,14.0
47050,1,06138,1,B+,BA5290,17.0
47054,3,05061,1,A,BS7254,18.0
47054,3,05164,0,DROP,BS7254,18.0
47057,3,06505,1,B,ND1206,16.0
47058,2,06441,1,D,BB6156,15.0
47058,3,06107,1,B-,BB6156,15.0
47060,1,06177,1,B,ND1201,15.0
47061,1,06153,1,B-,ND1206,15.0
47061,1,08830,1,A-,ND1206,15.0
47062,1,06174,1,C+,ND1206,15.0
47063,2,06484,1,B+,BS8167,17.0
47065,4,05901,1,B+,BS8119,15.0
47066,1,08830,1,B,BB6127,15.0
47067,2,06450,1,A,BS2127,15.0
47067,2,05068,1,C,BS2127,15.0
47067,2,05222,0,DROP,BS2127,15.0
47068,3,05063,0,DROP,BA4101,19.0
47068,3,05060,1,A,BA4101,19.0
47072,1,05389,1,B,BS7252,15.0
47072,1,05391,0,DROP,BS7252,15.0
47072,2,06486,1,B,BS3323,17.0
47073,2,06490,1,A,ND8837,15.0
47076,1,08409,1,A,ND6603,17.0
47080,1,09781,1,B-,BS3313,16.0
47080,2,05067,1,C,BS3313,17.0
47080,2,06431,1,B,BS3313,17.0
47080,2,05069,0,DROP,BS3313,17.0
47081,1,06167,1,B-,BS3106,20.0
47082,1,06181,1,B+,BC5363,17.0
47083,3,06110,1,C,ND1201,17.0
47087,1,05392,1,A,BS7257,15.0
47087,1,05393,0,DROP,BS7257,15.0
47087,5,10538,1,A,BS7257,17.0
